rule,support_ratio,confidence,conciseness
airports(t0) ^ airports(t1) ^ t0.iso_country == BR ^ t0.local_code == t1.local_code  ->  t0.keywords == t1.keywords,8000438,0.8029740127673908,0.5
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.iso_region == t1.iso_region ^ t0.municipality == t1.municipality  ->  t0.type == t1.type,300762,0.8822949607786768,0.3333333333333333
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.type == t1.type  ->  t0.wikipedia_link == t1.wikipedia_link,190719182,0.8342028392673803,0.5
airports(t0) ^ airports(t1) ^ t0.iso_region == t1.iso_region ^ t0.local_code == t1.local_code ^ t0.name == t1.name  ->  t0.gps_code == t1.gps_code,3618,0.9300771208226221,0.3333333333333333
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.name == t1.name  ->  t0.gps_code == t1.gps_code,2792,0.9950106913756237,0.5
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.municipality == t1.municipality  ->  t0.local_code == t1.local_code,2860,0.8204245553643144,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.municipality == t1.municipality  ->  t0.continent == t1.continent,183262,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.iso_region == t1.iso_region ^ t0.wikipedia_link == t1.wikipedia_link  ->  t0.iata_code == t1.iata_code,18229994,0.9543314306725887,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.name == t1.name  ->  t0.iso_country == t1.iso_country,2792,0.9041450777202072,0.5
airports(t0) ^ airports(t1) ^ t0.longitude_deg == t1.longitude_deg ^ t0.municipality == t1.municipality  ->  t0.name == t1.name,3330,0.9697146185206756,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.local_code == t1.local_code  ->  t0.iso_country == t1.iso_country,4594876,0.9935094728657565,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == BR ^ t0.keywords == t1.keywords  ->  t0.scheduled_service == t1.scheduled_service,19151990,0.9630330286509515,0.5
airports(t0) ^ airports(t1) ^ t0.iata_code == t1.iata_code ^ t0.iso_country == BR  ->  t0.iso_country == t1.iso_country,22194214,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.local_code == t1.local_code ^ t0.longitude_deg == t1.longitude_deg  ->  t0.wikipedia_link == t1.wikipedia_link,3710,0.9517701385325809,0.5
airports(t0) ^ airports(t1) ^ t0.continent == t1.continent ^ t0.latitude_deg == t1.latitude_deg  ->  t0.iata_code == t1.iata_code,6558,0.9283691959229898,0.5
airports(t0) ^ airports(t1) ^ t0.continent == t1.continent ^ t0.iso_country == US  ->  t0.wikipedia_link == t1.wikipedia_link,542074806,1.0,0.5
